# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ADAM32	ENSG00000197140	ENST00000379907	protein_coding	0	6	1	13	0	1	1	0	0	0	0	0	12	1	0	0	0	1	0	0	0	4	1
ADAM32	ENSG00000197140	ENST00000399831	protein_coding	0	2	0	6	0	1	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	1
ADAM32	ENSG00000197140	ENST00000437682	protein_coding	0	4	2	13	0	0	0	0	0	0	0	0	13	2	0	0	0	1	0	0	0	3	1
ADAM32	ENSG00000197140	ENST00000517416	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ADAM32	ENSG00000197140	ENST00000518259	retained_intron	0	0	0	10	0	0	0	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0
ADAM32	ENSG00000197140	ENST00000519315	protein_coding	0	4	1	15	0	1	1	0	0	0	0	0	13	1	0	0	0	0	0	0	0	3	1
ADAM32	ENSG00000197140	ENST00000520691	retained_intron	0	0	0	8	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0
ADAM32	ENSG00000197140	ENST00000521741	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
ADAM32	ENSG00000197140	ENST00000522506	protein_coding	0	1	0	7	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	1	2
ADAM32	ENSG00000197140	ENST00000523400	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2
ADAM32	ENSG00000197140	ENST00000524303	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ADAM3A	ENSG00000197475	ENST00000424066	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
ADAM3A	ENSG00000197475	ENST00000460383	processed_transcript	0	0	0	9	0	0	0	0	0	0	1	0	2	0	6	0	0	0	0	0	0	0	0
ADAM3A	ENSG00000197475	ENST00000461344	unitary_pseudogene	0	0	0	9	0	0	0	0	0	0	5	0	1	0	3	0	0	0	0	0	0	0	0
ADAM3A	ENSG00000197475	ENST00000474764	processed_transcript	0	0	0	9	0	0	0	0	0	0	1	0	2	0	6	0	0	0	0	0	0	0	0
ADAM3A	ENSG00000197475	ENST00000481351	processed_transcript	0	0	0	9	0	0	0	0	0	0	1	0	2	0	6	0	0	0	0	0	0	0	0
ADAM3A	ENSG00000197475	ENST00000484602	processed_transcript	0	0	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
ADAM3A	ENSG00000197475	ENST00000490268	processed_transcript	0	0	0	9	0	0	0	0	0	0	1	0	2	0	6	0	0	0	0	0	0	0	0
ADAM3A	ENSG00000197475	ENST00000495171	processed_transcript	0	0	0	9	0	0	0	0	0	0	1	0	2	0	6	0	0	0	0	0	0	0	0
ADAM3A	ENSG00000197475	ENST00000497806	processed_transcript	0	0	0	9	0	0	0	0	0	0	1	0	2	0	6	0	0	0	0	0	0	0	0
ADAM5	ENSG00000196115	ENST00000359790	processed_transcript	0	1	0	18	0	0	0	0	0	0	0	0	15	0	4	0	0	1	0	0	0	0	0
ADAM5	ENSG00000196115	ENST00000399789	unitary_pseudogene	0	1	0	18	0	0	0	0	0	0	0	0	15	0	4	0	0	1	0	0	0	0	0
ADAM5	ENSG00000196115	ENST00000417441	processed_transcript	0	1	0	18	0	0	0	0	0	0	0	0	15	0	4	0	0	1	0	0	0	0	0
ADAM5	ENSG00000196115	ENST00000433441	processed_transcript	0	1	0	18	0	0	0	0	0	0	0	0	15	0	4	0	0	1	0	0	0	0	0
ADAM5	ENSG00000196115	ENST00000464901	processed_transcript	0	1	0	8	0	0	0	0	0	0	1	0	6	0	2	0	0	1	0	0	0	0	0
ADAM5	ENSG00000196115	ENST00000497773	retained_intron	0	1	0	8	0	0	0	0	0	0	5	0	2	0	2	0	0	1	0	0	0	0	0
ADAM5	ENSG00000196115	ENST00000498728	processed_transcript	0	0	0	10	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	1
ADAM5	ENSG00000196115	ENST00000505455	processed_transcript	0	1	0	18	0	0	0	0	0	0	0	0	15	0	4	0	0	1	0	0	0	0	0
ADAM5	ENSG00000196115	ENST00000512764	processed_transcript	0	1	0	18	0	0	0	0	0	0	0	0	15	0	4	0	0	1	0	0	0	0	0
ADAM5	ENSG00000196115	ENST00000518020	processed_transcript	0	1	0	6	0	0	0	0	0	0	0	0	5	0	2	0	0	1	0	0	0	0	0
ADAM5	ENSG00000196115	ENST00000519063	processed_transcript	0	1	0	8	0	0	0	0	0	0	0	0	6	0	2	0	0	1	0	0	0	0	1
ADAM7	ENSG00000069206	ENST00000175238	protein_coding	0	2	0	9	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0
ADAM7	ENSG00000069206	ENST00000380789	protein_coding	0	2	0	9	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0
ADAM7	ENSG00000069206	ENST00000441335	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM7	ENSG00000069206	ENST00000520720	protein_coding	0	2	0	8	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2	0
ADAM9	ENSG00000168615	ENST00000379917	nonsense_mediated_decay	0	0	0	26	1	0	0	0	0	0	2	0	17	0	1	0	0	0	0	0	0	0	5
ADAM9	ENSG00000168615	ENST00000463437	retained_intron	0	0	0	6	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0
ADAM9	ENSG00000168615	ENST00000466936	protein_coding	0	0	0	10	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	5
ADAM9	ENSG00000168615	ENST00000468065	nonsense_mediated_decay	0	0	0	26	1	0	0	0	0	0	2	0	17	0	1	0	0	0	0	0	0	0	5
ADAM9	ENSG00000168615	ENST00000481058	retained_intron	0	0	0	6	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	2
ADAM9	ENSG00000168615	ENST00000481513	protein_coding	0	0	0	10	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	5
ADAM9	ENSG00000168615	ENST00000481873	nonsense_mediated_decay	0	0	0	26	1	0	0	0	0	0	2	0	17	0	1	0	0	0	0	0	0	0	5
ADAM9	ENSG00000168615	ENST00000484143	processed_transcript	0	0	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2
ADAM9	ENSG00000168615	ENST00000487273	protein_coding	0	0	0	25	1	0	0	0	0	0	2	0	17	0	0	0	0	0	0	0	0	0	5
ADAMDEC1	ENSG00000134028	ENST00000256412	protein_coding	0	1	1	8	1	0	1	0	0	0	1	0	4	1	0	0	0	0	0	0	0	1	1
ADAMDEC1	ENSG00000134028	ENST00000519953	processed_transcript	0	0	0	4	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2
ADAMDEC1	ENSG00000134028	ENST00000520193	nonsense_mediated_decay	0	0	0	12	2	0	0	0	0	0	2	0	4	0	2	0	0	0	0	0	0	0	2
ADAMDEC1	ENSG00000134028	ENST00000522298	protein_coding	0	1	1	8	1	0	0	0	0	0	1	0	4	1	0	0	0	0	0	0	0	1	2
ADAMDEC1	ENSG00000134028	ENST00000538205	protein_coding	0	1	1	8	1	0	1	0	0	0	1	0	4	1	0	0	0	0	0	0	0	1	1
ADCK5	ENSG00000173137	ENST00000308860	protein_coding	0	1	1	10	2	0	0	0	0	0	8	0	1	1	0	0	0	1	0	0	0	0	0
ADCK5	ENSG00000173137	ENST00000525136	processed_transcript	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ADCK5	ENSG00000173137	ENST00000526231	processed_transcript	0	0	0	9	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0
ADCK5	ENSG00000173137	ENST00000526833	nonsense_mediated_decay	0	0	0	8	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0
ADCK5	ENSG00000173137	ENST00000529654	nonsense_mediated_decay	0	1	0	13	2	0	0	0	0	0	8	0	1	0	3	0	0	1	0	0	0	0	0
ADCK5	ENSG00000173137	ENST00000532190	protein_coding	0	0	1	7	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0
ADCK5	ENSG00000173137	ENST00000533715	nonsense_mediated_decay	0	0	0	8	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0
ADCK5	ENSG00000173137	ENST00000534714	processed_transcript	0	0	0	8	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0
ADCY8	ENSG00000155897	ENST00000286355	protein_coding	0	2	1	13	0	0	0	0	0	0	0	0	13	1	0	0	0	1	0	0	0	2	0
ADCY8	ENSG00000155897	ENST00000377928	protein_coding	0	2	1	13	0	0	0	0	0	0	0	0	13	1	0	0	0	1	0	0	0	2	0
ADCY8	ENSG00000155897	ENST00000522949	protein_coding	0	1	0	5	0	0	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0	1	0
ADHFE1	ENSG00000147576	ENST00000276576	nonsense_mediated_decay	0	0	0	15	3	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	1
ADHFE1	ENSG00000147576	ENST00000379385	protein_coding	0	0	0	9	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	1
ADHFE1	ENSG00000147576	ENST00000396621	nonsense_mediated_decay	0	0	0	9	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	1
ADHFE1	ENSG00000147576	ENST00000396623	protein_coding	0	0	1	11	2	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	1
ADHFE1	ENSG00000147576	ENST00000415254	protein_coding	0	0	1	11	2	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	1
ADHFE1	ENSG00000147576	ENST00000419955	nonsense_mediated_decay	0	0	0	15	3	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	1
ADHFE1	ENSG00000147576	ENST00000422166	nonsense_mediated_decay	0	0	0	9	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	1
ADHFE1	ENSG00000147576	ENST00000424777	nonsense_mediated_decay	0	0	0	15	3	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	1
ADHFE1	ENSG00000147576	ENST00000426810	nonsense_mediated_decay	0	0	0	15	3	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	1
ADHFE1	ENSG00000147576	ENST00000431959	nonsense_mediated_decay	0	0	0	7	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	1
ADHFE1	ENSG00000147576	ENST00000443372	nonsense_mediated_decay	0	0	0	9	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	1
ADHFE1	ENSG00000147576	ENST00000449512	nonsense_mediated_decay	0	0	0	8	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	1
ADHFE1	ENSG00000147576	ENST00000463261	retained_intron	0	0	0	7	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	1
ADHFE1	ENSG00000147576	ENST00000466739	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1
ADHFE1	ENSG00000147576	ENST00000466920	retained_intron	0	0	0	7	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	1
ADHFE1	ENSG00000147576	ENST00000480040	processed_transcript	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1
ADHFE1	ENSG00000147576	ENST00000496501	processed_transcript	0	0	0	12	0	0	0	0	0	0	1	0	8	0	2	0	0	0	0	0	0	0	1
ADHFE1	ENSG00000147576	ENST00000518781	processed_transcript	0	0	0	6	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0
ADHFE1	ENSG00000147576	ENST00000523113	protein_coding	0	0	0	7	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0
ADRA1A	ENSG00000120907	ENST00000276393	protein_coding	0	0	1	4	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0
ADRA1A	ENSG00000120907	ENST00000354550	protein_coding	0	0	1	4	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ADRA1A	ENSG00000120907	ENST00000380573	protein_coding	0	0	1	4	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0
ADRA1A	ENSG00000120907	ENST00000380581	protein_coding	0	0	0	6	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0
ADRA1A	ENSG00000120907	ENST00000380582	protein_coding	0	0	1	5	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0
ADRA1A	ENSG00000120907	ENST00000380586	protein_coding	0	0	1	6	0	0	0	0	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0
ADRA1A	ENSG00000120907	ENST00000380587	protein_coding	0	0	0	7	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0
ADRA1A	ENSG00000120907	ENST00000518621	processed_transcript	0	0	0	5	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0
ADRA1A	ENSG00000120907	ENST00000519096	nonsense_mediated_decay	0	0	0	7	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0
ADRA1A	ENSG00000120907	ENST00000519229	protein_coding	0	0	1	5	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0
ADRA1A	ENSG00000120907	ENST00000521711	nonsense_mediated_decay	0	0	0	7	1	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0
ADRB3	ENSG00000188778	ENST00000345060	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRB3	ENSG00000188778	ENST00000520341	processed_transcript	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AF131216.6	ENSG00000246477	ENST00000498997	antisense	0	0	0	16	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	8
AF230666.2	ENSG00000223697	ENST00000429151	antisense	0	0	0	11	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	9
AF230666.2	ENSG00000223697	ENST00000608375	antisense	0	0	0	7	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	5
AF235103.1	ENSG00000263640	ENST00000578937	miRNA	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3
AGO2	ENSG00000123908	ENST00000220592	protein_coding	0	3	0	18	3	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	3	0
AGO2	ENSG00000123908	ENST00000519347	retained_intron	0	0	0	5	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0
AGO2	ENSG00000123908	ENST00000519980	protein_coding	0	3	0	18	2	0	0	0	0	0	1	0	15	0	0	0	0	0	0	0	0	3	0
AGO2	ENSG00000123908	ENST00000520412	retained_intron	0	0	0	5	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0
AGO2	ENSG00000123908	ENST00000520628	processed_transcript	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AGO2	ENSG00000123908	ENST00000521325	retained_intron	0	0	0	9	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	6
AGO2	ENSG00000123908	ENST00000523609	nonsense_mediated_decay	0	0	0	26	5	0	0	0	0	0	1	0	15	0	5	0	0	0	0	0	0	0	0
AGPAT5	ENSG00000155189	ENST00000285518	protein_coding	0	0	0	7	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
AGPAT5	ENSG00000155189	ENST00000518327	protein_coding	0	0	0	7	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0
AGPAT5	ENSG00000155189	ENST00000523234	nonsense_mediated_decay	0	0	0	10	3	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0
AGPAT5	ENSG00000155189	ENST00000523586	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AGPAT5	ENSG00000155189	ENST00000530716	processed_transcript	0	0	0	6	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0
AGPAT5	ENSG00000155189	ENST00000533159	processed_transcript	0	0	0	5	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1
AGPAT5	ENSG00000155189	ENST00000533648	processed_transcript	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1
AGPAT6	ENSG00000158669	ENST00000396987	protein_coding	0	0	0	18	14	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
